Country ,UNSCRegGrp,LocationCode,ISO3_CODE,ISO2_CODE,SDMX,TwentyTwo,TwentyThree,TwentyFour,TwentyFive,TwentySix,TwentySeven,TwentyEight,TwentyNine,Thirty,ThirtyOne,ThirtyTwo,ThirtyThree,ThirtyFour,ThirtyFive,ThirtySix,ThirtySeven,ThirtyEight,ThirtyNine,Fourty,FourtyOne,FourtyTwo,FourtyThree,FourtyFour,FourtyFive,FourtySix,FourtySeven,FourtyEight,FourtyNine,Fifty,FiftyOne,FiftyTwo,FiftyThree,FiftyFour,FiftyFive,FiftySix,FiftySeven,FiftyEight,FiftyNine,Sixty,SixtyOne,SixtyTwo,SixtyThree,SixtyFour,SixtyFive,SixtySix,SixtySeven,SixtyEight,SixtyNine,Seventy,SeventyOne,SeventyTwo,SeventyThree,SeventyFour,SeventyFive,SeventySix,SeventySeven,SeventyEight,SeventyNine,Eighty,EightyOne,EightyTwo,EightyThree,EightyFour,EightyFive,EightySix,EightySeven,EightyEight,EightyNine,Ninety,NinetyOne,NinetyTwo,NinetyThree,NinetyFour,NinetyFive,NinetySix,NinetySeven,NinetyEight,NinetyNine,OneHundred
Russian Federation,Eastern European Group,643,RUS,RU,643,144713314,144444359,143957078,143494210,143065414,142662574,142263181,141854941,141432741,141000041,140559555,140115666,139670938,139227987,138790762,138360672,137938508,137521801,137110991,136709409,136317800,135935122,135554900,135171274,134783212,134390857,133988174,133568298,133133035,132680696,132208665,131720512,131217865,130700222,130169445,129627234,129076299,128519549,127957595,127393456,126828584,126266229,125708193,125152477,124601187,124056898,123525046,123004018,122489972,121987126,121497299,121020281,120554337,120100789,119660728,119232643,118818000,118417124,118030378,117656213,117292124,116940031,116601011,116274231,115958095,115652642,115356684,115068352,114785573,114508299,114237495,113969018,113699861,113429989,113158372,112885713,112612788,112339930,112068747
Slovakia,Eastern European Group,703,SVK,SK,703,5643453,5795199,5702832,5635034,5595798,5578673,5570123,5563418,5555114,5545269,5533949,5521188,5507060,5491598,5475035,5457576,5439248,5420160,5400488,5380279,5359630,5338768,5317612,5296170,5274528,5252776,5230974,5209078,5186968,5164583,5141926,5118878,5095322,5071138,5046276,5020742,4994511,4967454,4939534,4910758,4881123,4850678,4819486,4787574,4755050,4722022,4688562,4654861,4620968,4586965,4553169,4519714,4486591,4453916,4421798,4390284,4359354,4329176,4299865,4271238,4243381,4216408,4190224,4164863,4140302,4116552,4093515,4071042,4049216,4027997,4007274,3987100,3967409,3948056,3928941,3910034,3891328,3872798,3854319
Ukraine,Eastern European Group,804,UKR,UA,804,39701739,36744633,37937820,38759076,39093309,39045383,38832550,38564213,38295428,38026436,37757668,37489780,37223511,36959760,36698493,36438538,36178944,35918328,35656113,35392256,35126356,34857729,34586035,34310784,34030556,33746167,33457707,33164600,32867720,32566729,32261850,31953634,31642957,31330526,31016933,30702878,30388917,30076101,29764648,29455385,29149300,28846211,28545967,28248946,27955560,27665990,27380213,27098296,26820525,26546722,26277283,26012105,25750653,25493446,25240495,24992353,24749703,24511982,24278882,24050899,23828465,23611704,23400512,23194431,22992982,22795870,22602573,22412550,22225811,22042148,21860596,21680660,21501655,21323189,21144887,20966550,20788450,20610537,20432787
Denmark,Western European and Others Group,208,DNK,DK,208,5882262,5910913,5939696,5968467,5996996,6024988,6052267,6078801,6104474,6129146,6152709,6175218,6196753,6217244,6236818,6255495,6273360,6290573,6307040,6322892,6338112,6352692,6366856,6380630,6394058,6407170,6419976,6432605,6445110,6457626,6470277,6483151,6496232,6509472,6522896,6536529,6550269,6564273,6578618,6593324,6608550,6624096,6639854,6655777,6671831,6688089,6704475,6720956,6737479,6753786,6769848,6785673,6801294,6816654,6831616,6846047,6860032,6873517,6886319,6898582,6910299,6921345,6931898,6942097,6951921,6961456,6970801,6980169,6989550,6998898,7008430,7018191,7028176,7038406,7048926,7059770,7070828,7082118,7093770
Estonia,Eastern European Group,233,EST,EE,233,1326062,1322765,1319041,1314900,1310378,1305538,1300423,1295047,1289441,1283666,1277795,1271865,1265905,1259966,1254066,1248225,1242443,1236711,1230997,1225300,1219594,1213847,1208044,1202180,1196252,1190246,1184160,1177981,1171695,1165300,1158808,1152224,1145530,1138706,1131774,1124727,1117555,1110300,1102954,1095532,1088042,1080490,1072907,1065276,1057633,1050007,1042380,1034755,1027177,1019647,1012156,1004718,997322,989986,982734,975536,968407,961380,954428,947548,940777,934131,927612,921225,914959,908804,902776,896874,891066,885345,879708,874136,868610,863132,857661,852192,846717,841220,835708
Faroe Islands,,234,FRO,FO,234,53090,53269,53444,53623,53802,53982,54175,54377,54583,54805,55038,55276,55526,55786,56049,56315,56580,56838,57088,57340,57586,57822,58063,58303,58537,58772,58999,59221,59444,59668,59885,60096,60312,60527,60742,60955,61165,61374,61590,61811,62026,62243,62463,62690,62922,63154,63382,63609,63835,64059,64281,64500,64714,64924,65137,65343,65540,65731,65918,66099,66268,66436,66602,66766,66927,67077,67222,67366,67501,67627,67753,67874,67987,68090,68187,68281,68364,68440,68513
Finland,Western European and Others Group,246,FIN,FI,246,5540746,5545474,5549886,5553986,5557512,5560464,5562880,5564606,5565475,5565536,5564876,5563500,5561441,5558658,5555219,5551302,5546832,5541772,5536212,5530170,5523795,5517065,5509954,5502518,5494829,5486833,5478418,5469790,5460917,5451767,5442476,5433124,5423830,5414537,5405401,5396592,5388092,5379824,5371893,5364432,5357392,5350766,5344584,5338554,5332476,5326411,5320293,5314074,5307741,5301244,5294433,5287194,5279486,5271330,5262662,5253490,5243954,5234194,5224130,5213761,5203227,5192572,5181777,5170863,5159838,5148743,5137705,5126854,5116310,5106061,5096131,5086510,5077080,5067882,5058910,5050024,5041184,5032504,5023925
Guernsey,,831,GGY,GG,831,63301,63544,63788,64027,64263,64500,64714,64929,65141,65334,65519,65695,65856,66005,66139,66262,66374,66465,66541,66602,66644,66679,66701,66703,66692,66666,66622,66565,66496,66400,66292,66184,66060,65924,65783,65628,65469,65309,65142,64969,64794,64618,64434,64244,64056,63869,63678,63490,63293,63094,62902,62702,62494,62280,62064,61848,61626,61393,61162,60933,60691,60451,60212,59971,59724,59469,59225,58981,58732,58486,58247,58013,57780,57550,57320,57094,56873,56663,56453
Iceland,Western European and Others Group,352,ISL,IS,352,372898,375318,377689,380010,382260,384427,386499,388471,390338,392104,393775,395352,396828,398210,399499,400700,401804,402812,403737,404576,405341,406027,406626,407148,407601,407977,408304,408575,408783,408962,409098,409187,409238,409260,409238,409166,409047,408882,408674,408411,408094,407726,407310,406834,406304,405730,405095,404393,403629,402813,401939,400999,400006,398961,397869,396720,395524,394286,393007,391691,390350,388984,387604,386222,384839,383467,382117,380791,379500,378244,377022,375847,374713,373622,372560,371511,370487,369484,368486
Ireland,Western European and Others Group,372,IRL,IE,372,5023108,5056934,5089478,5120867,5151398,5181143,5210188,5238740,5266880,5294736,5322356,5349663,5376684,5403354,5429692,5455791,5481442,5506567,5531182,5555162,5578394,5600737,5622146,5642439,5661520,5679406,5695971,5711066,5724686,5736958,5747775,5757130,5765164,5771955,5777630,5782303,5785862,5788371,5789972,5790721,5790807,5790212,5789038,5787445,5785420,5782984,5780333,5777597,5774754,5772056,5769648,5767581,5765837,5764344,5763247,5762393,5761846,5761685,5761900,5762574,5763480,5764504,5765562,5766456,5767142,5767507,5767454,5767016,5766020,5764348,5762040,5759073,5755452,5751260,5746414,5740980,5735155,5728935,5722314
